k00	f00	Ankunft_Hafen_HH	Abfahrt_Hafen_HH
2101615	2	1	0
2103141	2	1	0
2103141	4	1	0
2103141	6	1	0
2103141	8	1	0
2103361	2	1	0
2110426	2	1	0
2111935	1	1	0
2112563	1	1	0
2113210	1	1	0
2113333	1	1	0
2114072	1	1	0
2115065	3	1	0
2120419	1	1	0
2120628	1	1	0
2130219	1	1	0
2130219	3	1	0
2140163	8	1	0
2140163	11	1	0
2141913	2	1	0
2141913	9	1	0
2141918	1	1	0
2150146	2	1	0
2150146	4	1	0
2150146	6	1	0
2150929	1	1	0
2160764	2	1	0
2162610	1	1	0
2170626	1	1	0
2171356	4	1	0
2171931	1	1	0
2172242	2	1	0
2172527	1	1	0
2172651	2	1	0
2172651	4	1	0
2172658	1	1	0
2173109	2	1	0
2173570	1	1	0
2180406	2	1	0
2210874	1	1	0
2221933	1	1	0
2222238	1	1	0
2222238	3	1	0
2223030	1	1	0
2223173	2	1	0
2223660	1	1	0
2224033	1	1	0
2224457	2	1	0
2224457	7	1	0
2224612	5	1	0
2230121	1	1	0
2231040	1	1	0
2231208	1	1	0
2231208	6	1	0
2231941	2	1	0
2240340	3	1	0
2240607	4	1	0
2240753	2	1	0
2241137	1	1	0
2241416	1	1	0
2243302	1	1	0
2250119	1	1	0
2252045	1	1	0
2270444	1	1	0
2271021	2	1	0
2272039	6	1	0
2280130	1	1	0
2280225	2	1	0
2280225	4	1	0
2280837	1	1	0
2280961	3	1	0
2282322	3	1	0
2290333	1	1	0
2290859	3	1	0
2290859	9	1	0
2291739	3	1	0
2292428	4	1	0
2292428	7	1	0
2310320	1	1	0
2330138	1	1	0
2340464	2	1	0
2350830	1	1	0
2351342	2	1	0
2352844	1	1	0
2352844	3	1	0
2353005	1	1	0
2353131	1	1	0
2353359	2	1	0
2353359	4	1	0
2353359	6	1	0
2353421	3	1	0
2353871	1	1	0
2354251	1	1	0
2360458	1	1	0
2362257	3	1	0
2362503	3	1	0
2362507	1	1	0
2370932	1	1	0
2371170	1	1	0
2371668	2	1	0
2371702	9	1	0
2371866	1	1	0
2372619	6	1	0
2372703	1	1	0
2380114	1	1	0
2380367	2	1	0
2380824	1	1	0
2381667	2	1	0
2382267	1	1	0
2391536	1	1	0
2400342	1	1	0
2400708	1	1	0
2400708	3	1	0
2401703	4	1	0
2410222	1	1	0
2411074	1	1	0
2411270	1	1	0
2411635	1	1	0
2412570	2	1	0
2420632	2	1	0
2420824	1	1	0
2420824	3	1	0
2421609	1	1	0
2421654	2	1	0
2421711	2	1	0
2421911	6	1	0
2422645	2	1	0
2422645	6	1	0
2422740	1	1	0
2422740	6	1	0
2422740	10	1	0
2422904	1	1	0
